

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:1, season ID: 132...

Importing data @ 16-02-2015 13:05.
Committing data_import_session ID:1, season ID: 132...
Committed MeetingProgram, id: 7170.
Committed MeetingProgram, id: 7171.
Committed MeetingProgram, id: 7172.
Committed MeetingProgram, id: 7173.
Committed MeetingProgram, id: 7174.
Committed MeetingProgram, id: 7175.
Committed MeetingProgram, id: 7176.
Committed MeetingProgram, id: 7177.
Committed MeetingProgram, id: 7178.
Committed MeetingProgram, id: 7179.
Committed MeetingProgram, id: 7180.
Committed MeetingProgram, id: 7181.
Committed MeetingProgram, id: 7182.
Committed MeetingProgram, id: 7183.
Committed MeetingProgram, id: 7184.
Committed MeetingProgram, id: 7185.
Committed MeetingProgram, id: 7186.
Committed MeetingProgram, id: 7187.
Committed MeetingProgram, id: 7188.
Committed MeetingProgram, id: 7189.
Committed MeetingProgram, id: 7190.
Committed MeetingProgram, id: 7191.
Committed MeetingProgram, id: 7192.
Committed MeetingProgram, id: 7193.
Committed MeetingProgram, id: 7194.
Committed MeetingProgram, id: 7195.
Committed MeetingProgram, id: 7196.
Committed MeetingProgram, id: 7197.
Committed MeetingProgram, id: 7198.
Committed MeetingProgram, id: 7199.
Committed MeetingProgram, id: 7200.
Committed MeetingProgram, id: 7201.
Committed MeetingProgram, id: 7202.
Committed MeetingProgram, id: 7203.
Committed MeetingProgram, id: 7204.
Committed MeetingProgram, id: 7205.
Committed MeetingProgram, id: 7206.
Committed MeetingProgram, id: 7207.
Committed MeetingProgram, id: 7208.
Committed MeetingProgram, id: 7209.
Committed MeetingProgram, id: 7210.
Committed MeetingProgram, id: 7211.
Committed MeetingProgram, id: 7212.
Committed MeetingProgram, id: 7213.
Committed MeetingProgram, id: 7214.
Committed MeetingProgram, id: 7215.
Committed MeetingProgram, id: 7216.
Committed MeetingProgram, id: 7217.
Committed MeetingProgram, id: 7218.
Committed MeetingProgram, id: 7219.
Committed MeetingProgram, id: 7220.
Committed MeetingProgram, id: 7221.
Committed MeetingProgram, id: 7222.
Committed MeetingProgram, id: 7223.
Committed MeetingProgram, id: 7224.
Committed MeetingProgram, id: 7225.
Committed MeetingProgram, id: 7226.
Committed MeetingProgram, id: 7227.
Committed MeetingProgram, id: 7228.
Committed MeetingProgram, id: 7229.
Committed MeetingProgram, id: 7230.
Committed MeetingProgram, id: 7231.
Committed MeetingProgram, id: 7232.
Committed MeetingProgram, id: 7233.
Committed MeetingProgram, id: 7234.
Committed MeetingProgram, id: 7235.
Committed MeetingProgram, id: 7236.
Committed MeetingProgram, id: 7237.
Committed MeetingProgram, id: 7238.
Committed MeetingProgram, id: 7239.
Committed MeetingProgram, id: 7240.
Committed MeetingProgram, id: 7241.
Committed MeetingProgram, id: 7242.
Committed MeetingProgram, id: 7243.
Committed MeetingProgram, id: 7244.
Committed MeetingProgram, id: 7245.
Committed MeetingProgram, id: 7246.
Committed MeetingProgram, id: 7247.
Committed MeetingProgram, id: 7248.
Committed MeetingProgram, id: 7249.
Committed MeetingProgram, id: 7250.
Committed MeetingProgram, id: 7251.
Committed MeetingProgram, id: 7252.
Committed MeetingProgram, id: 7253.
Committed MeetingProgram, id: 7254.
Committed MeetingProgram, id: 7255.
Committed MeetingProgram, id: 7256.
Committed MeetingProgram, id: 7257.
Committed MeetingProgram, id: 7258.
Committed MeetingProgram, id: 7259.
Committed MeetingProgram, id: 7260.
Committed MeetingProgram, id: 7261.
Committed MeetingProgram, id: 7262.
Committed MeetingProgram, id: 7263.
Committed MeetingProgram, id: 7264.
Committed MeetingProgram, id: 7265.
Committed MeetingProgram, id: 7266.
Committed MeetingProgram, id: 7267.
Committed MeetingProgram, id: 7268.
Committed MeetingProgram, id: 7269.
Committed MeetingProgram, id: 7270.
Committed MeetingProgram, id: 7271.
Committed MeetingProgram, id: 7272.
Committed MeetingProgram, id: 7273.
Committed MeetingProgram, id: 7274.
Committed MeetingProgram, id: 7275.
Committed MeetingProgram, id: 7276.
Committed MeetingProgram, id: 7277.
Committed MeetingProgram, id: 7278.
Committed MeetingProgram, id: 7279.
Committed MeetingProgram, id: 7280.
Committed MeetingProgram, id: 7281.
Committed MeetingProgram, id: 7282.
Committed MeetingProgram, id: 7283.
Committed MeetingProgram, id: 7284.
Committed MeetingProgram, id: 7285.
Committed MeetingProgram, id: 7286.
Committed MeetingProgram, id: 7287.
Committed MeetingProgram, id: 7288.
Committed MeetingProgram, id: 7289.
Committed MeetingProgram, id: 7290.
Committed MeetingProgram, id: 7291.
Committed MeetingProgram, id: 7292.
Committed MeetingProgram, id: 7293.
Committed MeetingProgram, id: 7294.
Committed MeetingProgram, id: 7295.
Committed MeetingProgram, id: 7296.
Committed MeetingProgram, id: 7297.
Committed MeetingProgram, id: 7298.
Committed MeetingProgram, id: 7299.
Committed MeetingProgram, id: 7300.
Committed MeetingProgram, id: 7301.
Committed MeetingProgram, id: 7302.
Committed MeetingProgram, id: 7303.
Committed MeetingProgram, id: 7304.
Committed MeetingProgram, id: 7305.
Committed MeetingProgram, id: 7306.
Committed MeetingProgram, id: 7307.
Committed MeetingProgram, id: 7308.
Committed MeetingProgram, id: 7309.
Committed MeetingProgram, id: 7310.
Committed MeetingProgram, id: 7311.
Committed MeetingProgram, id: 7312.
Committed MeetingProgram, id: 7313.
Committed MeetingProgram, id: 7314.
Committed MeetingProgram, id: 7315.
Committed MeetingProgram, id: 7316.
Committed MeetingProgram, id: 7317.
Committed MeetingProgram, id: 7318.
Committed MeetingProgram, id: 7319.
Committed MeetingProgram, id: 7320.
Committed MeetingProgram, id: 7321.
Committed MeetingProgram, id: 7322.
Committed MeetingProgram, id: 7323.
Committed MeetingProgram, id: 7324.
Committed MeetingProgram, id: 7325.
Committed MeetingProgram, id: 7326.
Committed MeetingProgram, id: 7327.
Committed MeetingProgram, id: 7328.
Committed MeetingProgram, id: 7329.
Committed MeetingProgram, id: 7330.
Committed MeetingProgram, id: 7331.
Committed MeetingProgram, id: 7332.
Committed MeetingProgram, id: 7333.
Committed MeetingProgram, id: 7334.
Committed MeetingProgram, id: 7335.
Committed MeetingProgram, id: 7336.
Committed MeetingProgram, id: 7337.
Committed MeetingProgram, id: 7338.
Committed MeetingProgram, id: 7339.
Committed MeetingProgram, id: 7340.
Committed MeetingProgram, id: 7341.
Committed MeetingProgram, id: 7342.
Committed MeetingProgram, id: 7343.
Committed MeetingProgram, id: 7344.
Committed MeetingProgram, id: 7345.
Committed MeetingProgram, id: 7346.
Committed MeetingProgram, id: 7347.
Committed MeetingProgram, id: 7348.
Committed MeetingProgram, id: 7349.
Committed MeetingProgram, id: 7350.
Committed MeetingProgram, id: 7351.
Committed MeetingProgram, id: 7352.
Committed MeetingProgram, id: 7353.
