

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:2, season ID: 132...

Importing data @ 16-02-2015 13:38.
Committing data_import_session ID:2, season ID: 132...
Committed MeetingProgram, id: 7484.
Committed MeetingProgram, id: 7485.
Committed MeetingProgram, id: 7486.
Committed MeetingProgram, id: 7487.
Committed MeetingProgram, id: 7488.
Committed MeetingProgram, id: 7489.
Committed MeetingProgram, id: 7490.
Committed MeetingProgram, id: 7491.
Committed MeetingProgram, id: 7492.
Committed MeetingProgram, id: 7493.
Committed MeetingProgram, id: 7494.
Committed MeetingProgram, id: 7495.
Committed MeetingProgram, id: 7496.
Committed MeetingProgram, id: 7497.
Committed MeetingProgram, id: 7498.
Committed MeetingProgram, id: 7499.
Committed MeetingProgram, id: 7500.
Committed MeetingProgram, id: 7501.
Committed MeetingProgram, id: 7502.
Committed MeetingProgram, id: 7503.
Committed MeetingProgram, id: 7504.
Committed MeetingProgram, id: 7505.
Committed MeetingProgram, id: 7506.
Committed MeetingProgram, id: 7507.
Committed MeetingProgram, id: 7508.
Committed MeetingProgram, id: 7509.
Committed MeetingProgram, id: 7510.
Committed MeetingProgram, id: 7511.
Committed MeetingProgram, id: 7512.
Committed MeetingProgram, id: 7513.
Committed MeetingProgram, id: 7514.
Committed MeetingProgram, id: 7515.
Committed MeetingProgram, id: 7516.
Committed MeetingProgram, id: 7517.
Committed MeetingProgram, id: 7518.
Committed MeetingProgram, id: 7519.
Committed MeetingProgram, id: 7520.
Committed MeetingProgram, id: 7521.
Committed MeetingProgram, id: 7522.
Committed MeetingProgram, id: 7523.
Committed MeetingProgram, id: 7524.
Committed MeetingProgram, id: 7525.
Committed MeetingProgram, id: 7526.
Committed MeetingProgram, id: 7527.
Committed MeetingProgram, id: 7528.
Committed MeetingProgram, id: 7529.
Committed MeetingProgram, id: 7530.
Committed MeetingProgram, id: 7531.
Committed MeetingProgram, id: 7532.
Committed MeetingProgram, id: 7533.
Committed MeetingProgram, id: 7534.
Committed MeetingProgram, id: 7535.
Committed MeetingProgram, id: 7536.
Committed MeetingProgram, id: 7537.
Committed MeetingProgram, id: 7538.
Committed MeetingProgram, id: 7539.
Committed MeetingProgram, id: 7540.
Committed MeetingProgram, id: 7541.
Committed MeetingProgram, id: 7542.
Committed MeetingProgram, id: 7543.
Committed MeetingProgram, id: 7544.
Committed MeetingProgram, id: 7545.
Committed MeetingProgram, id: 7546.
Committed MeetingProgram, id: 7547.
Committed MeetingProgram, id: 7548.
Committed MeetingProgram, id: 7549.
Committed MeetingProgram, id: 7550.
Committed MeetingProgram, id: 7551.
Committed MeetingProgram, id: 7552.
Committed MeetingProgram, id: 7553.
Committed MeetingProgram, id: 7554.
Committed MeetingProgram, id: 7555.
Committed MeetingProgram, id: 7556.
Committed MeetingProgram, id: 7557.
Committed MeetingProgram, id: 7558.
Committed MeetingProgram, id: 7559.
Committed MeetingProgram, id: 7560.
Committed MeetingProgram, id: 7561.
Committed MeetingProgram, id: 7562.
Committed MeetingProgram, id: 7563.
Committed MeetingProgram, id: 7564.
Committed MeetingProgram, id: 7565.
Committed MeetingProgram, id: 7566.
Committed MeetingProgram, id: 7567.
Committed MeetingProgram, id: 7568.
Committed MeetingProgram, id: 7569.
Committed MeetingProgram, id: 7570.
Committed MeetingProgram, id: 7571.
Committed MeetingProgram, id: 7572.
Committed MeetingProgram, id: 7573.
Committed MeetingProgram, id: 7574.
Committed MeetingProgram, id: 7575.
Committed MeetingProgram, id: 7576.
Committed MeetingProgram, id: 7577.
Committed MeetingProgram, id: 7578.
Committed MeetingProgram, id: 7579.
Committed MeetingProgram, id: 7580.
Committed MeetingProgram, id: 7581.
Committed MeetingProgram, id: 7582.
Committed MeetingProgram, id: 7583.
Committed MeetingProgram, id: 7584.
Committed MeetingProgram, id: 7585.
Committed MeetingProgram, id: 7586.
Committed MeetingProgram, id: 7587.
Committed MeetingProgram, id: 7588.
Committed MeetingProgram, id: 7589.
Committed MeetingProgram, id: 7590.
Committed MeetingProgram, id: 7591.
Committed MeetingProgram, id: 7592.
Committed MeetingProgram, id: 7593.
Committed MeetingProgram, id: 7594.
Committed MeetingProgram, id: 7595.
Committed MeetingProgram, id: 7596.
Committed MeetingProgram, id: 7597.
Committed MeetingProgram, id: 7598.
Committed MeetingProgram, id: 7599.
