id;date;meeting;code;import_data_file;;effective_date;days_to_move;download;import;best;#!/bin/bash
15231;25-10-2015;XIX TROFEO CITTÀ DI ROVIGO;rovigo;ris20151025rovigo.txt;ris20151025rovigo;;;;;;
15230;01-11-2015;TROFEO AMICI DEL NUOTO 2015;firenzeamicidelnuoto;ris20151101firenzeamicidelnuoto.txt;ris20151101firenzeamicidelnuoto;;;;;;
15239;21-11-2015;VIII TROFEO MASTER VICENZA;vicenzamastervicenza;ris20151121vicenzamastervicenza.txt;ris20151121vicenzamastervicenza;;;;;;
15244;22-11-2015;V TROFEO PAOLO COSTOLI;romapaolocostoli;ris20151122romapaolocostoli.txt;ris20151122romapaolocostoli;;;;;;
15245;22-11-2015;IV TROFEO POGGIBONSI;poggibonsi;ris20151122poggibonsi.txt;ris20151122poggibonsi;;;;;;
15203;13-12-2015;XVII MEETING DEGLI AUGURI;livornoauguri;ris20151213livornoauguri.txt;ris20151213livornoauguri;;;;;;
15356;20-12-2015;I TROFEO SPRINT DI CHIAVARI;chiavarisprint;ris20151220chiavarisprint.txt;ris20151220chiavarisprint;;;;;;
15261;06-01-2016;MEETING DEL SARACINO MASTER 2016;arezzodelsaracinomaster;ris20160106arezzodelsaracinomaster.txt;ris20160106arezzodelsaracinomaster;;;;;;
15271;24-01-2016;II MEETING DEL BOCCACCIO;certaldodelboccaccio;ris20160124certaldodelboccaccio.txt;ris20160124certaldodelboccaccio;;;;;;
15282;20-02-2016;REGIONALI TOSCANA 2016;regtoscana;ris20160220regtoscana.txt;ris20160220regtoscana;;;;;;
15305;27-03-2016;VI TROFEO CITTÀ DI PAVIA;pavia;ris20160327pavia.txt;ris20160327pavia;;;;;;
15306;27-03-2016;IX TROFEO ILARIA DEL CARRETTO;luccailariadelcarretto;ris20160327luccailariadelcarretto.txt;ris20160327luccailariadelcarretto;;;;;;
15307;27-03-2016;III TROFEO AQUAPOOL;calimeraaquapool;ris20160327calimeraaquapool.txt;ris20160327calimeraaquapool;;;;;;
15290;03-04-2016;II NUOTOPIÙ SWIM FESTIVAL;livornonuotopiuswimfestival;ris20160403livornonuotopiuswimfestival.txt;ris20160403livornonuotopiuswimfestival;;;;;;
15309;10-04-2016;V COPPA CITTÀ DI FOLLONICA;follonica;ris20160410follonica.txt;ris20160410follonica;;;;;;
15312;10-04-2016;IV TROFEO OK MASTER M2;campodipietraokmasterm2;ris20160410campodipietraokmasterm2.txt;ris20160410campodipietraokmasterm2;;;;;;
15322;24-04-2016;XVI MEMORIAL GIOVANNI CIUFFRIDA;massarosagiovanniciuffrida;ris20160424massarosagiovanniciuffrida.txt;ris20160424massarosagiovanniciuffrida;;;;;;
15220;21-05-2016;XV MEETING DELLA VALDERA;pontedera;ris20160521pontedera.txt;ris20160521pontedera;;;;;;
15219;28-05-2016;XII TROFEO SERGIO FAGGI;prato;ris20160528prato.txt;ris20160528prato;;;;;;
15340;02-06-2016;II TROFEO OLTRE';nocioltre;ris20160602nocioltre.txt;ris20160602nocioltre;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15340
15210;04-06-2016;II TROFEO MASTER VITTORINO DA FELTRE;piacenza;ris20160604piacenza.txt;ris20160604piacenza;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15210
15331;04-06-2016;V TROFEO PISCINE DI ALBARO;genovapiscinedialbaro;ris20160604genovapiscinedialbaro.txt;ris20160604genovapiscinedialbaro;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15331
15342;04-06-2016;II TROFEO NUOTATORI TRENTINI;trentonuotatoritrentini;ris20160604trentonuotatoritrentini.txt;ris20160604trentonuotatoritrentini;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15342
15344;04-06-2016;XXXI TROFEO ITALO GALLUZZI;cittadicastelloitalogalluzzi;ris20160604cittadicastelloitalogalluzzi.txt;ris20160604cittadicastelloitalogalluzzi;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15344
15348;04-06-2016;III TROFEO JOLLY NUOTO;pietrelcinajollynuoto;ris20160604pietrelcinajollynuoto.txt;ris20160604pietrelcinajollynuoto;;;;;;
15345;05-06-2016;VIII MEMORIAL G NOVATI CITTA' DI COMO;comognovaticittadicomo;ris20160605comognovaticittadicomo.txt;ris20160605comognovaticittadicomo;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15345
15346;05-06-2016;II TROFEO ROMA NUOTO MASTER;romaromanuotomaster;ris20160605romaromanuotomaster.txt;ris20160605romaromanuotomaster;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15346
15347;05-06-2016;III TROFEO DELLA REGIONE;cataniadellaregione;ris20160605cataniadellaregione.txt;ris20160605cataniadellaregione;;;OK;OK;;zeus rake db:scan_meeting_for_personal_bests persist=true meeting=15347
15211;21-06-2016;CAMPIONATI ITALIANI FIN 2016;italiani;ris20160621italiani.txt;ris20160621italiani;;;;;;
